Id,Label,modularity_class,degree
1766,1766,15,1
1767,1767,17,3
1768,1768,6,1
1770,1770,12,1
1771,1771,15,1
1772,1772,19,3
1773,1773,15,3
1774,1774,10,2
1775,1775,23,1
1776,1776,2,2
1777,1777,23,2
1778,1778,0,2
1781,1781,1,1
1783,1783,15,2
1785,1785,9,2
1786,1786,4,1
1787,1787,14,2
1788,1788,12,2
1789,1789,12,1
1790,1790,3,1
1792,1792,2,3
1793,1793,3,1
1794,1794,11,1
1795,1795,24,1
1796,1796,9,1
1797,1797,0,1
1798,1798,16,1
1799,1799,0,1
1801,1801,19,1
1803,1803,22,1
1804,1804,15,2
1807,1807,12,18
1808,1808,25,1
1809,1809,11,1
1810,1810,5,1
1811,1811,9,1
1812,1812,18,2
1813,1813,2,1
1814,1814,12,2
1815,1815,11,20
1816,1816,2,1
1817,1817,4,2
1818,1818,10,2
1821,1821,4,3
1823,1823,10,2
1824,1824,1,1
1827,1827,3,2
1829,1829,7,2
1832,1832,24,1
1836,1836,4,1
1837,1837,23,8
1838,1838,15,1
1839,1839,16,2
1840,1840,11,1
1842,1842,23,1
1843,1843,17,19
1845,1845,2,17
1847,1847,6,3
1848,1848,14,1
1849,1849,3,1
1851,1851,21,1
1852,1852,5,1
1853,1853,14,2
1854,1854,19,1
1855,1855,17,1
1856,1856,5,2
1858,1858,5,1
1859,1859,11,1
1861,1861,20,2
1862,1862,9,19
1864,1864,1,1
1865,1865,9,2
1866,1866,16,22
1867,1867,14,2
1869,1869,15,1
1871,1871,11,10
1872,1872,11,3
1873,1873,4,1
1874,1874,1,2
1875,1875,10,1
1876,1876,24,2
1877,1877,20,1
1878,1878,13,4
1879,1879,8,8
1881,1881,4,21
1882,1882,12,9
1883,1883,10,1
1885,1885,10,1
1886,1886,19,1
1888,1888,2,2
1889,1889,19,1
1891,1891,23,3
1892,1892,2,2
1893,1893,20,1
1894,1894,23,3
1895,1895,14,2
1896,1896,13,3
1898,1898,14,1
1899,1899,2,1
1901,1901,12,1
1904,1904,13,3
1906,1906,0,1
1909,1909,10,6
1910,1910,25,1
1913,1913,23,1
1914,1914,1,2
1917,1917,11,2
1920,1920,2,1
1921,1921,24,15
1922,1922,20,2
1924,1924,25,1
1925,1925,20,2
1926,1926,17,1
1928,1928,4,18
1929,1929,21,15
1931,1931,20,3
1935,1935,15,2
1936,1936,17,3
1937,1937,20,3
1938,1938,25,1
1939,1939,3,1
1940,1940,18,1
1941,1941,17,1
1942,1942,24,19
1943,1943,11,1
1944,1944,12,1
1947,1947,25,1
1950,1950,14,1
1951,1951,14,1
1952,1952,1,3
1954,1954,4,2
1955,1955,24,1
1956,1956,5,2
1957,1957,2,1
1958,1958,0,1
1960,1960,18,6
1962,1962,3,1
1963,1963,4,2
1964,1964,5,1
1965,1965,17,9
1966,1966,7,1
1967,1967,21,9
1970,1970,3,20
1971,1971,5,1
1972,1972,21,13
1973,1973,16,2
1974,1974,24,18
1975,1975,8,3
1976,1976,21,1
1978,1978,12,1
1979,1979,0,2
1980,1980,13,1
1981,1981,16,1
1982,1982,14,2
1984,1984,0,8
1986,1986,12,7
1987,1987,12,1
1988,1988,1,18
1989,1989,1,1
1990,1990,15,18
1993,1993,22,1
1994,1994,7,1
1995,1995,0,3
1996,1996,20,1
1997,1997,13,1
1998,1998,12,2
1999,1999,6,3
2001,2001,12,3
2003,2003,21,1
2004,2004,24,2
2005,2005,2,2
2006,2006,19,2
2007,2007,5,2
2008,2008,18,1
2009,2009,23,1
2011,2011,15,10
2013,2013,2,1
2014,2014,20,1
2016,2016,12,1
2017,2017,12,2
2018,2018,14,1
2019,2019,24,2
2020,2020,9,2
2021,2021,11,1
2022,2022,15,1
2024,2024,19,8
2025,2025,24,4
2026,2026,25,13
2027,2027,3,4
2028,2028,1,1
2030,2030,21,1
2032,2032,24,1
2033,2033,7,1
2035,2035,5,22
2037,2037,24,2
2038,2038,8,1
2039,2039,22,1
2040,2040,19,2
2041,2041,20,1
2043,2043,6,3
2047,2047,12,4
2048,2048,20,20
2051,2051,5,2
2052,2052,12,8
2053,2053,4,1
2055,2055,20,1
2056,2056,5,14
2057,2057,11,3
2058,2058,7,2
2059,2059,0,1
2062,2062,8,1
2064,2064,19,16
2065,2065,18,1
2068,2068,21,2
2069,2069,7,2
2073,2073,1,1
2074,2074,7,17
2075,2075,6,2
2076,2076,16,3
2078,2078,12,1
2079,2079,7,1
2080,2080,19,1
2081,2081,1,21
2083,2083,3,1
2084,2084,12,2
2085,2085,10,1
2086,2086,3,1
2088,2088,15,12
2089,2089,2,12
2090,2090,0,2
2092,2092,10,2
2093,2093,6,2
2094,2094,3,2
2095,2095,21,1
2096,2096,13,12
2098,2098,11,8
2099,2099,6,8
2100,2100,11,3
2102,2102,17,3
2103,2103,2,2
2104,2104,25,4
2106,2106,24,2
2108,2108,20,1
2109,2109,3,1
2110,2110,11,1
